personid,demo_sex,state,turnout_score,support_score,ev_score,vbm_score,gotv_score,voted_2018,demo_ethnicity
1,Male,IN,0.7164,0.3446,0.6222,0.5261,0.1031,true,Cuban
2,Female,NJ,0.1303,0.4049,0.1376,0.0939,0.7351,false,Kiowa
3,Male,NV,0.8775,0.8984,0.362,0.6974,0.5841,false,Apache
4,Female,VA,0.8618,0.192,0.7894,0.5906,0.9322,true,Guatemalan
5,Female,WA,0.2244,0.2307,0.9972,0.4839,0.0294,true,Tohono O'Odham
6,Male,CA,0.0878,0.2405,0.3252,0.6333,0.7293,false,Thai
7,Female,NE,0.4311,0.2568,0.6235,0.5043,0.4199,true,Cheyenne
8,Male,PA,0.2028,0.2848,0.6889,0.2501,0.957,true,Paiute
9,Male,AL,0.2892,0.7187,0.351,0.1764,0.9851,false,Micronesian
10,Male,FL,0.0676,0.2228,0.031,0.1236,0.6804,false,Puerto Rican
11,Male,IN,0.5091,0.9243,0.2721,0.648,0.2583,true,Puget Sound Salish
12,Female,WA,0.4808,0.5221,0.3479,0.9385,0.9643,false,Chamorro
13,Female,NE,0.8352,0.8795,0.0347,0.1647,0.9333,true,Houma
14,Female,FL,0.286,0.6347,0.0671,0.2607,0.0659,true,Taiwanese
15,Female,FL,0.5363,0.2149,0.5319,0.5514,0.0575,true,Costa Rican
16,Female,AK,0.1186,0.7897,0.713,0.6277,0.5678,true,Yuman
17,Male,CA,0.4115,0.411,0.8999,0.2651,0.7631,true,Puget Sound Salish
18,Female,TX,0.53,0.2789,0.9995,0.4461,0.2819,true,Cherokee
19,Female,NE,0.8417,0.7031,0.4436,0.0655,0.993,true,Yaqui
20,Male,NV,0.0341,0.3015,0.1117,0.0892,0.46,false,American Indian
21,Female,FL,0.757,0.3985,0.5479,0.2317,0.0256,false,Kiowa
22,Male,CA,0.3007,0.3396,0.4645,0.4759,0.9801,false,Salvadoran
23,Male,NY,0.8152,0.7276,0.3042,0.6217,0.0189,true,Navajo
24,Female,VA,0.7114,0.5363,0.0128,0.9055,0.2477,false,Ottawa
25,Female,VA,0.7361,0.1031,0.6141,0.0672,0.4177,false,Chinese
26,Female,KS,0.1278,0.6553,0.7477,0.7561,0.9197,false,Sioux
27,Male,VA,0.6936,0.9264,0.0637,0.4996,0.6621,true,Creek
28,Male,CA,0.8794,0.1248,0.2592,0.1535,0.3399,false,Creek
29,Female,TX,0.5484,0.5455,0.65,0.6125,0.4795,false,Chickasaw
30,Male,MA,0.6988,0.3924,0.8489,0.062,0.0594,true,Menominee
31,Male,TX,0.9486,0.9099,0.0508,0.7105,0.4787,false,Indonesian
32,Female,MI,0.3497,0.6108,0.3861,0.9984,0.1276,true,Chickasaw
33,Male,MD,0.6102,0.9799,0.0849,0.0076,0.728,false,Nicaraguan
34,Male,AZ,0.7732,0.6958,0.9876,0.2134,0.0786,true,Uruguayan
35,Female,NJ,0.6661,0.3728,0.5758,0.7917,0.6584,false,Seminole
36,Male,NV,0.9087,0.6268,0.1322,0.0816,0.7692,true,Navajo
37,Female,MI,0.1181,0.2155,0.0844,0.1121,0.4768,false,Crow
38,Male,FL,0.8023,0.8643,0.5172,0.5983,0.115,false,Bolivian
39,Male,FL,0.4135,0.3449,0.288,0.8923,0.7442,false,Nicaraguan
40,Female,TX,0.5307,0.9526,0.9146,0.0483,0.9936,true,Colombian
